Incident Month,Year,Severity,State,Location,Latitude,Longitude,Shark
8,2010,fatal,WA,"south point beach, cowaramup bay",-33.85,114.9666667,white shark
2,2011,fatal,SA,perforated island nr coffin bay,-34.71666667,135.15,white shark
8,2011,fatal,QLD,"challenger bay, palm island",-18.71666667,146.5666667,tiger shark
9,2011,fatal,WA,bunker bay,-33.53333333,115.0333333,white shark
10,2011,fatal,WA,rottnest island,-32,115.45,white shark
10,2011,fatal,WA,"cottesloe beach, perth",-31.98333333,115.75,white shark
3,2012,fatal,WA,"stratham beach, bunbury",-33.46666667,115.5166667,white shark
7,2012,fatal,WA,"wedge island, north of perth",-30.83333333,115.2666667,white shark
11,2013,fatal,NSW,"coffs harbour, campbell's beach",-30.26666667,153.1333333,tiger shark
11,2013,fatal,WA,"gracetown, umbies break",-33.85,114.9666667,white shark
2,2014,fatal,SA,"goldsmith beach, yorke peninsula",-35.13333333,137.7,white shark
4,2014,fatal,NSW,tathra,-36.71666667,149.9833333,white shark
9,2014,fatal,NSW,"byron bay, clarkes beach",-28.63333333,153.6,white shark
12,2014,fatal,WA,"cheynes beach, albany",-34.88003124,118.404958,white shark
12,2014,fatal,QLD,"rudder reef, port douglas",-16.2,145.75,tiger shark
2,2015,fatal,NSW,"ballina, shelly beach",-28.85,153.5833333,white shark
7,2015,fatal,TAS,maria island,-42.63333333,147.9833333,white shark
5,2016,fatal,WA,"gearies beach, mandurah",-32.58333333,115.6333333,white shark
6,2016,fatal,WA,"one mile reef, mindarie",-31.66666667,115.6666667,white shark
4,2017,fatal,WA,"the kelp beds, wylie bay, esperance",-33.83250092,121.9968696,white shark
11,2018,fatal,QLD,"cid harbour, whitsundays",-20.25,148.9333,
1,2020,fatal,WA,"cull island, esperance",-33.9222,121.9032,white shark
4,2020,fatal,QLD,north west island,-23.2951,151.7079,
6,2020,fatal,NSW,"casuarina beach, kingscliff ",-28.2778,153.5774,white shark
7,2020,fatal,QLD,"fraser island, sunshine coast",-25.2398,153.1325,whaler shark
7,2020,fatal,NSW,"wooli beach, wilsons headland, mid north coast",-29.853,153.2715,white shark
9,2020,fatal,QLD,"greenmount beach, gold coast",-28.164,153.5476,white shark
10,2020,fatal,WA,"kelps beds, esperance ",-34.8611,121.8919,white shark
11,2020,fatal,WA,"cable beach, broome",-17.9319,122.2081,bull shark
5,2021,fatal,NSW,tuncurry beach,-32.1521,152.5053,white shark
9,2021,fatal,NSW,emerald beach,-30.1575,153.1502,white shark
11,2021,fatal,WA,"port beach, fremantle",-32.0569,115.7439,white shark
2,2022,fatal,NSW,"little bay, sydney",-30.883,153.083,white shark
